id,name,name_alternative,location,parent_id,parent_name
188-gbg-mma,GBG MMA,,"Gothenburg, Sweeden",,
1886-paraestra-matsudo,Paraestra Matsudo,パラエストラ松戸,"Chiba, Japan",166-paraestra-tokyo,Paraestra Tokyo
1892-krazy-bee,KRAZY BEE,KILLER BEE,"Tokyo, Japan",1891-ysa,YSA
1905-czerwony-smok,Czerwony Smok,"Klub Sportów Walki Czerwony Smok Poznań, Red Dragon Poznan","Poznań, Poland",,
1925-mma-gym-cave,CAVE,"MMA Gym CAVE, 総合格闘技道場CAVE","Sumida, Tokyo, Japan",,
1927-cobra-kai-mma-dojo,Cobra Kai MMA Dojo,"Cobra Kai, 総合格闘技道場コブラ会","Osaka, Japan",,
193-mma-lab,MMA Lab,The LAB,"Glendale, Arizona",,
194-power-mma,Power MMA,Power MMA & Fitness,"Gilbert, Arizona",,
1955-dan-hendersons-athletic-fitness-center,Dan Henderson's Athletic Fitness Center,,"Temecula, California",,
1961-011-mma-team,011 MMA Team,,"Sao Paulo, Sao Paulo, Brazil",,
1970-paraestra-hachioji,Paraestra Hachioji,パラエストラ八王子,"Tokyo, Japan",166-paraestra-tokyo,Paraestra Tokyo
1973-bali-muay-thai-mixed-martial-arts,Bali MMA,,"Bali, Indonesia",,
1983-pro-fighting-peru,Pro Fighting Peru,PFP,"Lima, Peru",,
1986-contacto-livre,Contacto Livre,,Peru,,
1988-los-perros-sarnosos,Los Perros Sarnosos,"Escuela Pitbull Perros Sarnosos, Team Hector Iberico, La Perrera","Lima, Peru",,
1999-fortaleza,Fortaleza,"Fortaleza MMA, Team Fortaleza","Lima, Peru",,
2-csw-training-center,CSW Training Center,Combat Submission Wrestling,"Fullerton, California",,
201-grudge-tc,Genesis Training Academy,,"Arvada, Colorado",,
2036-mpr-endurance-mma,MPR Endurance MMA,,"Fairless Hills, Pennsylvania",,
2071-penta-gym,Penta Gym,"Penta Gym Prague, Penta Gym Praha","Prague, Czech Republic",,
2078-leontes-aspropurgou-draculino-team,Leontes Draculino Team,,"Aspropurgos, Attiki, Greece",,
2094-stallion-cage,Stallion Cage,Stallion Gym,"Stuttgart, Germany",,
