bout_id,fighter_id,weigh_in_result,fight_night_weight,weight_gain
428386-ufc-241-daniel-dc-cormier-vs-stipe-miocic-ii,daniel-cormier,236.5 lbs (107.3 kgs),247.0 lbs (112.0 kgs),"10.5 lbs (4.8 kgs, +4%)"
613114-ufc-270-jasmine-jasudavicius-vs-kay-hansen,171056-jasmine-jasdavicious,125.0 lbs (56.7 kgs),136.8 lbs (62.1 kgs),"11.8 lbs (5.4 kgs, +9%)"
613114-ufc-270-jasmine-jasudavicius-vs-kay-hansen,166442-kay-hansen,125.0 lbs (56.7 kgs),133.2 lbs (60.4 kgs),"8.2 lbs (3.7 kgs, +7%)"
627814-ufc-270-vanessa-lil-monster-demopoulos-vs-silvana-gomez-la-malvada-juarez,35907-vanessa-demopoulos,115.5 lbs (52.4 kgs),128.5 lbs (58.3 kgs),"13.0 lbs (5.9 kgs, +11%)"
627814-ufc-270-vanessa-lil-monster-demopoulos-vs-silvana-gomez-la-malvada-juarez,61720-silvana-gomez-juarez-la-malvada,115.5 lbs (52.4 kgs),132.2 lbs (60.0 kgs),"16.7 lbs (7.6 kgs, +14%)"
605871-ufc-270-matt-steamrolla-frevola-vs-genaro-el-rayadito-valdez,83149-matt-frevola,154.5 lbs (70.1 kgs),175.0 lbs (79.4 kgs),"20.5 lbs (9.3 kgs, +13%)"
605871-ufc-270-matt-steamrolla-frevola-vs-genaro-el-rayadito-valdez,214582-genaro-valdez-el-rayadito,155.5 lbs (70.5 kgs),167.0 lbs (75.7 kgs),"11.5 lbs (5.2 kgs, +7%)"
608417-ufc-270-tony-gravely-vs-saimon-oliveira,80780-tony-gravely-lamar,135.5 lbs (61.5 kgs),148.8 lbs (67.5 kgs),"13.3 lbs (6.0 kgs, +10%)"
608417-ufc-270-tony-gravely-vs-saimon-oliveira,86764-saimon-oliveira,136.0 lbs (61.7 kgs),157.8 lbs (71.6 kgs),"21.8 lbs (9.9 kgs, +16%)"
628152-ufc-270-jack-della-maddalena-vs-pete-dead-game-rodriguez,119831-jack-della-maddalena,170.5 lbs (77.3 kgs),189.0 lbs (85.7 kgs),"18.5 lbs (8.4 kgs, +11%)"
628152-ufc-270-jack-della-maddalena-vs-pete-dead-game-rodriguez,135356-pete-rodriguez,170.5 lbs (77.3 kgs),189.6 lbs (86.0 kgs),"19.1 lbs (8.7 kgs, +11%)"
626259-ufc-270-raoni-barcelos-vs-victor-la-mangosta-henry,29255-victor-henry,135.5 lbs (61.5 kgs),148.5 lbs (67.4 kgs),"13.0 lbs (5.9 kgs, +10%)"
626259-ufc-270-raoni-barcelos-vs-victor-la-mangosta-henry,30448-raoni-barcellos,135.0 lbs (61.2 kgs),150.6 lbs (68.3 kgs),"15.6 lbs (7.1 kgs, +12%)"
05775-ufc-270-michael-morales-vs-trevin-the-problem-giles,164286-michael-morales,170.0 lbs (77.1 kgs),190.4 lbs (86.4 kgs),"20.4 lbs (9.3 kgs, +12%)"
05775-ufc-270-michael-morales-vs-trevin-the-problem-giles,20072-trevin-giles,170.0 lbs (77.1 kgs),182.2 lbs (82.6 kgs),"12.2 lbs (5.5 kgs, +7%)"
605052-ufc-270-cody-spartan-stamann-vs-said-nurmagomedov,36038-said-nurmagomedov,136.0 lbs (61.7 kgs),148.8 lbs (67.5 kgs),"12.8 lbs (5.8 kgs, +9%)"
605052-ufc-270-cody-spartan-stamann-vs-said-nurmagomedov,22124-cody-stamann,135.5 lbs (61.5 kgs),159.0 lbs (72.1 kgs),"23.5 lbs (10.7 kgs, +17%)"
627600-ufc-270-michel-demolidor-pereira-vs-andre-fialho,55575-michel-pereira,170.0 lbs (77.1 kgs),184.0 lbs (83.5 kgs),"14.0 lbs (6.4 kgs, +8%)"
627600-ufc-270-michel-demolidor-pereira-vs-andre-fialho,115985-andre-fialho,169.5 lbs (76.9 kgs),179.6 lbs (81.5 kgs),"10.1 lbs (4.6 kgs, +6%)"
605558-ufc-270-brandon-the-assassin-baby-moreno-vs-deiveson-deus-da-guerra-figueiredo-iii,76553-deiveson-alcantra-daico,124.0 lbs (56.2 kgs),143.2 lbs (65.0 kgs),"19.2 lbs (8.7 kgs, +15%)"
605558-ufc-270-brandon-the-assassin-baby-moreno-vs-deiveson-deus-da-guerra-figueiredo-iii,27833-brandon-moreno-the-assassin,124.0 lbs (56.2 kgs),136.2 lbs (61.8 kgs),"12.2 lbs (5.5 kgs, +10%)"
604459-ufc-270-francis-the-predator-n-gannou-vs-ciryl-bon-gamin-gane,64378-francis-ngannou,257.0 lbs (116.6 kgs),260.4 lbs (118.1 kgs),"3.4 lbs (1.5 kgs, +1%)"
604459-ufc-270-francis-the-predator-n-gannou-vs-ciryl-bon-gamin-gane,187819-cyril-gane-real-c,247.0 lbs (112.0 kgs),245.0 lbs (111.1 kgs),"-2.0 lbs (-0.9 kgs, -1%)"
677968-ufc-fight-night-youssef-the-moroccan-devil-zalal-vs-da-mon-the-diamond-blackshear,110826-youssef-zalaal,135.5 lbs (61.5 kgs),154.6 lbs (70.1 kgs),"19.1 lbs (8.7 kgs, +14%)"
677968-ufc-fight-night-youssef-the-moroccan-devil-zalal-vs-da-mon-the-diamond-blackshear,78497-damon-blackshear,134.0 lbs (60.8 kgs),152.4 lbs (69.1 kgs),"18.4 lbs (8.3 kgs, +14%)"
678656-ufc-fight-night-jason-the-vanilla-gorilla-witt-vs-josh-the-maverick-quinlan,114123-josh-quinlan,175.0 lbs (79.4 kgs),185.0 lbs (83.9 kgs),"10.0 lbs (4.5 kgs, +6%)"
678656-ufc-fight-night-jason-the-vanilla-gorilla-witt-vs-josh-the-maverick-quinlan,53481-jason-witt,179.5 lbs (81.4 kgs),191.0 lbs (86.6 kgs),"11.5 lbs (5.2 kgs, +6%)"
675506-ufc-fight-night-ode-the-jamaican-sensation-osbourne-vs-tyson-nam,tyson-nam,126.0 lbs (57.2 kgs),146.2 lbs (66.3 kgs),"20.2 lbs (9.2 kgs, +16%)"
675506-ufc-fight-night-ode-the-jamaican-sensation-osbourne-vs-tyson-nam,50154-ode-osbourne,125.0 lbs (56.7 kgs),138.6 lbs (62.9 kgs),"13.6 lbs (6.2 kgs, +11%)"
672797-ufc-fight-night-gabriel-moggly-benitez-vs-charlie-the-american-bad-boy-ontiveros,27087-gabriel-benitez-moggly,155.0 lbs (70.3 kgs),170.2 lbs (77.2 kgs),"15.2 lbs (6.9 kgs, +10%)"
672797-ufc-fight-night-gabriel-moggly-benitez-vs-charlie-the-american-bad-boy-ontiveros,20906-charles-ontiveros,155.0 lbs (70.3 kgs),165.4 lbs (75.0 kgs),"10.4 lbs (4.7 kgs, +7%)"
671124-ufc-fight-night-nina-the-strina-nunes-vs-cynthia-calvillo,11224-nina-ansaroff,125.5 lbs (56.9 kgs),130.2 lbs (59.1 kgs),"4.7 lbs (2.1 kgs, +4%)"
671124-ufc-fight-night-nina-the-strina-nunes-vs-cynthia-calvillo,25471-cynthia-calvillo,125.5 lbs (56.9 kgs),136.4 lbs (61.9 kgs),"10.9 lbs (4.9 kgs, +9%)"
