id,name,nickname
2741,Ronda Rousey,Rowdy
2745,Cezar Ferreira,Mutante
2753,Sean Spencer,Black Magik
2755,Jack Marshman,Hammer
2765,Tom Breese,
2778,Yoel Romero,Soldier of God
2779,Marcos Rogério de Lima,Pezão
2784,Norman Parke,Stormin
2786,Paddy Holohan,The Hooligan
2807,Yan Cabral,
2817,Jessica Eye,Evil
2825,Leandro Issa,Brodinho
2834,Dominique Steele,Nonstop Action-Packed
2845,Eddie Yagin,The Filipino Phenom
2869,Matt Lucas,Luke Duke
2870,Clifford Starks,Big Cat
2887,Francis Carmont,Limitless
2894,Neil Seery,2 Tap
2895,Chris Spang,The Kiss
2906,Dan Spohn,Dragon
2912,John Maguire,The One
2923,Matt Van Buren,Gutter
2925,Justin Frazier,The Grizzly Bear
2934,Byron Bloodworth,
2939,Dustin Jacoby,The Hanyak
2955,Mitch Clarke,Danger Zone
2958,Mike Rio,The Wolverine
2960,Yoislandy Izquierdo,Cuba
2971,Jared Gordon,Flash
2978,Brian Kelleher,Boom
2985,Maxim Grishin,Maximus
2990,Phil De Fries,
2995,Walt Harris,The Big Ticket
3002,Vaughan Lee,
3013,Alex Soto,Extremo
3020,Albert Duraev,Machete
