fighter_id,bout_id,gym_id,gym_name,gym_purpose
jeremy-horn-gumby,1374-ufc-17-frank-the-legend-shamrock-vs-jeremy-gumby-horn,713-jeremy-horns-elite-performance-fitness-gym,Jeremy Horn's Elite Performance,
frank-shamrock-the-legend,1374-ufc-17-frank-the-legend-shamrock-vs-jeremy-gumby-horn,,The Alliance,
tulio-palhares,1380-ufc-175-tulio-palhares-vs-adriano-santos,,TFT Valencia,
jeremy-horn-gumby,1383-ufc-175-ebenezer-pitbull-fontes-braga-vs-jeremy-gumby-horn,713-jeremy-horns-elite-performance-fitness-gym,Jeremy Horn's Elite Performance,
tsuyoshi-kosaka-tk,2865-ufc-17-5-tsuyoshi-tk-kosaka-vs-pete-el-duro-williams,3570-alliance-square,ALLIANCE,
pete-williams-el-duro,2865-ufc-17-5-tsuyoshi-tk-kosaka-vs-pete-el-duro-williams,299-lions-den-texas,Lion's Den Texas,
pat-miletich-the-croation-sensation,2868-ufc-17-5-the-croation-sensation-pat-miletich-vs-mikey-the-eastside-assassin-burnett,1149-miletich-fighting-systems,Miletich Fighting Systems,
mikey-burnett-the-eastside-assassin,2868-ufc-17-5-the-croation-sensation-pat-miletich-vs-mikey-the-eastside-assassin-burnett,299-lions-den-texas,Lion's Den Texas,
pedro-rizzo-the-rock,2871-ufc-175-pedro-the-rock-rizzo-vs-david-tank-abbott,4382-ruas-vale-tudo,Ruas Vale Tudo,
vitor-belfort-the-phenom,2874-ufc-175-vitor-the-phenom-belfort-vs-the-axe-murderer-wanderlei-silva-i,,Independent,
wanderlei-silva-the-axe-murderer,2874-ufc-175-vitor-the-phenom-belfort-vs-the-axe-murderer-wanderlei-silva-i,734-wand-fight-team,Wand Fight Team,
frank-shamrock-the-legend,2877-ufc-175-frank-the-legend-shamrock-vs-john-the-machine-lober,,The Alliance,
john-lober-the-machine,2877-ufc-175-frank-the-legend-shamrock-vs-john-the-machine-lober,,Team Machine,
laverne-clark,ufc-18-laverne-clark-vs-frank-caracci,1149-miletich-fighting-systems,Miletich Fighting Systems,
evan-tanner,ufc-18-evan-tanner-vs-darrel-gholar,,Hard Knocks Kickboxing,
mikey-burnett-the-eastside-assassin,2892-ufc-18-mikey-the-eastside-assassin-burnett-vs-townsend-saunders,299-lions-den-texas,Lion's Den Texas,
jerry-bohlander,2896-ufc-18-the-huntington-beach-bad-boy-tito-ortiz-vs-jerry-bohlander,298-lions-den,Lion's Den,
tito-ortiz-the-huntington-beach-bad-boy,2896-ufc-18-the-huntington-beach-bad-boy-tito-ortiz-vs-jerry-bohlander,901-team-punishment,Team Punishment,
mark-coleman-the-hammer,2899-ufc-18-pedro-the-rock-rizzo-vs-mark-the-hammer-coleman,7988-immortal-martial-arts-center,Immortal Martial Arts Center,
pedro-rizzo-the-rock,2899-ufc-18-pedro-the-rock-rizzo-vs-mark-the-hammer-coleman,4382-ruas-vale-tudo,Ruas Vale Tudo,
jorge-patino-macaco,1265-ufc-18-the-croation-sensation-pat-miletich-vs-jorge-macaco-patino,248-bronxs-gold-team-texas,Gold Team Texas,Primary
jorge-patino-macaco,1265-ufc-18-the-croation-sensation-pat-miletich-vs-jorge-macaco-patino,3435-chute-boxe-diego-lima,Chute Boxe Diego Lima,Other
pat-miletich-the-croation-sensation,1265-ufc-18-the-croation-sensation-pat-miletich-vs-jorge-macaco-patino,1149-miletich-fighting-systems,Miletich Fighting Systems,
tsuyoshi-kosaka-tk,1270-ufc-18-el-guapo-bas-rutten-vs-tsuyoshi-tk-kosaka,3570-alliance-square,ALLIANCE,
joey-roberts,1272-ufc-19-sione-latu-vs-joey-roberts,,Memphis Bad Boyz,
pete-williams-el-duro,ufc-19-pete-el-duro-williams-vs-jason-godsey,299-lions-den-texas,Lion's Den Texas,
jason-godsey,ufc-19-pete-el-duro-williams-vs-jason-godsey,1214-integrated-fighting-academy,Integrated Fighting Academy,
evan-tanner,ufc-19-evan-tanner-vs-valeri-ignatov,,Hard Knocks Kickboxing,
maurice-smith-mo,1282-ufc-19-kevin-the-monster-randleman-vs-maurice-mo-smith,,The Alliance,
kevin-randleman-the-monster,1282-ufc-19-kevin-the-monster-randleman-vs-maurice-mo-smith,731-tapout-training-center,Tapout Training Center Las Vegas,
chuck-liddell-the-iceman,1286-ufc-19-jeremy-gumby-horn-vs-chuck-the-iceman-liddell-i,717-the-pit,The Pit,
jeremy-horn-gumby,1286-ufc-19-jeremy-gumby-horn-vs-chuck-the-iceman-liddell-i,713-jeremy-horns-elite-performance-fitness-gym,Jeremy Horn's Elite Performance,
guy-mezger-the-sandman,1292-ufc-19-the-huntington-beach-bad-boy-tito-ortiz-vs-guy-the-sandman-mezger,299-lions-den-texas,Lion's Den Texas,
tito-ortiz-the-huntington-beach-bad-boy,1292-ufc-19-the-huntington-beach-bad-boy-tito-ortiz-vs-guy-the-sandman-mezger,901-team-punishment,Team Punishment,
ron-waterman-h2o,ufc-20-ron-h2o-waterman-vs-chris-condo,,Colorado Stars,
laverne-clark,ufc-20-laverne-clark-vs-fabiano-iha,1149-miletich-fighting-systems,Miletich Fighting Systems,
tony-petarra,2777-ufc-20-the-axe-murderer-wanderlei-silva-vs-tony-petarra,881-shark-tank-mma,Shark Tank MMA,
wanderlei-silva-the-axe-murderer,2777-ufc-20-the-axe-murderer-wanderlei-silva-vs-tony-petarra,734-wand-fight-team,Wand Fight Team,
pete-williams-el-duro,2780-ufc-20-pete-el-duro-williams-vs-travis-the-ironman-fulton,299-lions-den-texas,Lion's Den Texas,
travis-fulton-the-ironman,2780-ufc-20-pete-el-duro-williams-vs-travis-the-ironman-fulton,,Team Rock,
pedro-rizzo-the-rock,2784-ufc-20-pedro-the-rock-rizzo-vs-tra-trauma-telligman,4382-ruas-vale-tudo,Ruas Vale Tudo,
tra-telligman-trauma,2784-ufc-20-pedro-the-rock-rizzo-vs-tra-trauma-telligman,299-lions-den-texas,Lion's Den Texas,
kevin-randleman-the-monster,2787-ufc-20-el-guapo-bas-rutten-vs-kevin-the-monster-randleman,731-tapout-training-center,Tapout Training Center Las Vegas,
travis-fulton-the-ironman,2791-ufc-21-travis-the-ironman-fulton-vs-david-dodd,,Team Rock,
ron-waterman-h2o,ufc-21-andre-the-chief-roberts-vs-ron-h2o-waterman,,Colorado Stars,
520-eugene-jackson-the-wolf,2802-ufc-21-eugene-the-wolf-jackson-vs-royce-alger,2544-eugene-jacksons-undisputed-gladiators,Eugene Jackson's Undisputed Gladiators,
tsuyoshi-kosaka-tk,2808-ufc-21-tsuyoshi-tk-kosaka-vs-tim-the-bohemian-lajcik,3570-alliance-square,ALLIANCE,
tim-lajcik-the-bohemian,2808-ufc-21-tsuyoshi-tk-kosaka-vs-tim-the-bohemian-lajcik,2544-eugene-jacksons-undisputed-gladiators,Eugene Jackson's Undisputed Gladiators,
flavio-luiz-moura,ufc-21-paul-jones-vs-flavio-luiz-moura,,Gracie Fusion,
daiju-takase,1153-ufc-21-jeremy-gumby-horn-vs-daiju-takase,,Freelance,
jeremy-horn-gumby,1153-ufc-21-jeremy-gumby-horn-vs-daiju-takase,713-jeremy-horns-elite-performance-fitness-gym,Jeremy Horn's Elite Performance,
pat-miletich-the-croation-sensation,1159-ufc-21-the-croation-sensation-pat-miletich-vs-andre-dede-pederneiras,1149-miletich-fighting-systems,Miletich Fighting Systems,
andre-pederneiras-dede,1159-ufc-21-the-croation-sensation-pat-miletich-vs-andre-dede-pederneiras,53-nova-unio,Nova União,
maurice-smith-mo,1166-ufc-21-maurice-mo-smith-vs-marco-the-king-of-the-streets-ruas-i,,The Alliance,
marco-ruas-the-king-of-the-streets,1166-ufc-21-maurice-mo-smith-vs-marco-the-king-of-the-streets-ruas-i,4382-ruas-vale-tudo,Ruas Vale Tudo,
jens-pulver-little-evil,1171-ufc-22-little-evil-jens-pulver-vs-alfonso-alfie-alcarez,971-team-curran-mma,Team Curran MMA,
alfonso-alcarez-alfie,1171-ufc-22-little-evil-jens-pulver-vs-alfonso-alfie-alcarez,,Nickwan Kick Gym,
john-lewis,ufc-22-john-lewis-vs-lowell-anderson,,Lewis/Pederneiras Vale-Tudo,
matt-hughes,1181-ufc-22-matt-hughes-vs-valeri-ignatov,1170-finneys-hit-squad,Finney's HIT Squad,
chuck-liddell-the-iceman,1188-ufc-22-chuck-the-iceman-liddell-vs-paul-jones,717-the-pit,The Pit,
jeremy-horn-gumby,1200-ufc-22-jeremy-gumby-horn-vs-jason-godsey,713-jeremy-horns-elite-performance-fitness-gym,Jeremy Horn's Elite Performance,
jason-godsey,1200-ufc-22-jeremy-gumby-horn-vs-jason-godsey,1214-integrated-fighting-academy,Integrated Fighting Academy,
ron-waterman-h2o,2646-ufc-22-tim-the-bohemian-lajcik-vs-ron-h2o-waterman,,Colorado Stars,
tim-lajcik-the-bohemian,2646-ufc-22-tim-the-bohemian-lajcik-vs-ron-h2o-waterman,2544-eugene-jacksons-undisputed-gladiators,Eugene Jackson's Undisputed Gladiators,
frank-shamrock-the-legend,3133-ufc-22-frank-the-legend-shamrock-vs-the-huntington-beach-bad-boy-tito-ortiz,,The Alliance,
tito-ortiz-the-huntington-beach-bad-boy,3133-ufc-22-frank-the-legend-shamrock-vs-the-huntington-beach-bad-boy-tito-ortiz,901-team-punishment,Team Punishment,
kenichi-yamamoto,ufc-23-kenichi-yamamoto-vs-katsuhisa-shamoji-fujii,4629-power-of-dream-gym,Power of Dream Sapporo,
katsuhisa-fujii-shamoji,ufc-23-kenichi-yamamoto-vs-katsuhisa-shamoji-fujii,4463-core,CORE,
daiju-takase,2666-ufc-23-kenichi-yamamoto-vs-daiju-takase,,Freelance,
kenichi-yamamoto,2666-ufc-23-kenichi-yamamoto-vs-daiju-takase,4629-power-of-dream-gym,Power of Dream Sapporo,
keiichiro-yamamiya,2672-ufc-23-eugene-the-wolf-jackson-vs-keiichiro-kei-yamamiya,1756-grabaka,GRABAKA,
520-eugene-jackson-the-wolf,2672-ufc-23-eugene-the-wolf-jackson-vs-keiichiro-kei-yamamiya,2544-eugene-jacksons-undisputed-gladiators,Eugene Jackson's Undisputed Gladiators,
pedro-rizzo-the-rock,2689-ufc-23-pedro-the-rock-rizzo-vs-tsuyoshi-tk-kosaka,4382-ruas-vale-tudo,Ruas Vale Tudo,
tsuyoshi-kosaka-tk,2689-ufc-23-pedro-the-rock-rizzo-vs-tsuyoshi-tk-kosaka,3570-alliance-square,ALLIANCE,
kevin-randleman-the-monster,2694-ufc-23-kevin-the-monster-randleman-vs-pete-el-duro-williams,731-tapout-training-center,Tapout Training Center Las Vegas,
pete-williams-el-duro,2694-ufc-23-kevin-the-monster-randleman-vs-pete-el-duro-williams,299-lions-den-texas,Lion's Den Texas,
masutatsu-yano,ufc-23-katsuhisa-shamoji-fujii-vs-masutatsu-yano,,RJW Central,
katsuhisa-fujii-shamoji,ufc-23-katsuhisa-shamoji-fujii-vs-masutatsu-yano,4463-core,CORE,
brad-gumm,2699-ufc-24-mr-international-shonie-carter-vs-brad-gumm,623-gumm-mma-fitness,Gumm MMA & Fitness,
shonie-carter-mr-international,2699-ufc-24-mr-international-shonie-carter-vs-brad-gumm,4787-chicagomma,Chicago MMA,
scott-adams,1006-ufc-24-scott-adams-vs-ian-the-machine-freeman,717-the-pit,The Pit,
