bout_id,fighter_id,ko_tko_percentage,submission_percentage,decision_percentage,overall_percentage,num_picks
570204-ufc-fight-night-alexandre-the-cannibal-pantoja-vs-brandon-raw-dawg-royval,12767-alexandre-pantoja,14.6,8.1,77.3,64,3370
570204-ufc-fight-night-alexandre-the-cannibal-pantoja-vs-brandon-raw-dawg-royval,25031-brandon-royval,11.4,44.8,43.8,36,3370
569995-ufc-fight-night-vinc-from-hell-pichel-vs-austin-thud-hubbard,67931-austin-hubbard,13.3,3.6,83.0,26,3307
569995-ufc-fight-night-vinc-from-hell-pichel-vs-austin-thud-hubbard,17554-vinc-pichel,5.9,3.1,91.0,74,3307
593795-ufc-fight-night-trevin-5-star-jones-vs-saidyokub-kakhramonov,147590-saidyokub-kakharamonov,29.5,14.7,55.8,18,3066
593795-ufc-fight-night-trevin-5-star-jones-vs-saidyokub-kakhramonov,30581-trevin-jones,78.0,3.2,18.9,82,3066
569757-ufc-fight-night-chase-the-vanilla-gorilla-sherman-vs-parker-porter,parker-porter,50.4,4.0,45.6,11,3354
569757-ufc-fight-night-chase-the-vanilla-gorilla-sherman-vs-parker-porter,55773-chase-sherman,84.4,1.0,14.6,89,3354
571667-ufc-fight-night-clay-the-carpenter-guida-vs-mark-o-the-olympian-madsen,52290-mark-overgaard-madsen,8.4,12.0,79.6,83,3435
571667-ufc-fight-night-clay-the-carpenter-guida-vs-mark-o-the-olympian-madsen,clay-guida-the-carpenter,11.9,8.8,79.3,17,3435
574769-ufc-fight-night-jared-killa-gorilla-cannonier-vs-kelvin-gastelum,63163-jared-cannonier,54.4,0.5,45.1,65,3473
574769-ufc-fight-night-jared-killa-gorilla-cannonier-vs-kelvin-gastelum,41355-kelvin-gastelum,27.1,3.8,69.1,35,3473
594404-ufc-fight-night-mana-manaboi-martinez-vs-guido-ninja-cannetti,43358-leomana-martinez,85.5,1.9,12.6,93,3159
594404-ufc-fight-night-mana-manaboi-martinez-vs-guido-ninja-cannetti,12196-guido-canetti-ninja,33.3,10.8,55.9,7,3159
570386-ufc-fight-night-pat-sabatini-vs-jamall-pretty-boy-emmers,29210-pat-sabatini,5.4,13.2,81.4,52,3168
570386-ufc-fight-night-pat-sabatini-vs-jamall-pretty-boy-emmers,32088-jamall-emmers,18.3,2.3,79.4,48,3168
594698-ufc-fight-night-jj-aldrich-vs-vanessa-lil-monster-demopoulos,35907-vanessa-demopoulos,11.8,23.2,65.1,9,3138
594698-ufc-fight-night-jj-aldrich-vs-vanessa-lil-monster-demopoulos,28420-jj-aldrich,5.9,2.1,92.0,91,3138
581406-ufc-fight-night-dustin-the-hanyak-jacoby-vs-darren-the-dentist-stewart,44180-darren-stewart,43.0,4.0,53.0,13,3231
581406-ufc-fight-night-dustin-the-hanyak-jacoby-vs-darren-the-dentist-stewart,15069-dustin-jacoby,23.5,1.5,75.1,87,3231
588997-ufc-fight-night-smilin-sam-alvey-vs-wellington-the-prodigy-turman,70129-wellington-turman-fofo,20.2,10.5,69.2,51,3196
588997-ufc-fight-night-smilin-sam-alvey-vs-wellington-the-prodigy-turman,sam-alvey,61.1,1.5,37.3,49,3196
594787-ufc-fight-night-abdul-judo-thunder-razak-alhassan-vs-alessio-manzo-di-chirico,74325-alessio-di-chirico,28.5,2.9,68.6,82,3197
594787-ufc-fight-night-abdul-judo-thunder-razak-alhassan-vs-alessio-manzo-di-chirico,59306-abdul-razak-alhassan,77.0,2.7,20.3,18,3197
569698-ufc-fight-night-gerald-gm3-meerschaert-vs-makhmud-mach-muradov,34702-makhmud-muradov,89.8,1.7,8.5,92,3334
569698-ufc-fight-night-gerald-gm3-meerschaert-vs-makhmud-mach-muradov,6018-gerald-meerschaert-the-machine,11.6,57.3,31.1,8,3334
594505-ufc-fight-night-andre-petroski-vs-micheal-the-gentleman-gillmore,86130-mike-gillmore,34.9,13.8,51.3,5,3179
594505-ufc-fight-night-andre-petroski-vs-micheal-the-gentleman-gillmore,123353-andre-petroski,17.3,66.4,16.3,95,3179
592529-ufc-fight-night-kevin-motown-phenom-lee-vs-daniel-d-rod-rodriguez,61421-daniel-rodriguez,59.7,5.2,35.1,48,3289
592529-ufc-fight-night-kevin-motown-phenom-lee-vs-daniel-d-rod-rodriguez,23860-kevin-lee,11.2,22.4,66.4,52,3289
594097-ufc-fight-night-ricky-hadouken-turcios-vs-brady-bam-bam-hiestand,158649-brady-hiestand,20.5,11.4,68.1,19,3170
594097-ufc-fight-night-ricky-hadouken-turcios-vs-brady-bam-bam-hiestand,46586-ricky-turcios,10.8,6.8,82.3,81,3170
