id,event_id,bout_order,red_fighter_id,blue_fighter_id,red_outcome,blue_outcome,weight_class,type_verbose,performance_bonus,outcome_method,outcome_method_details,end_round,end_round_time_seconds,round_time_format,total_time_seconds
ec5e9ce2be2e1586,abbc4fc02e0d84b3,4,4b4753d19489297f,bc3ec52ef70fc155,L,W,Light Heavyweight,Light Heavyweight Bout,1,KO/TKO,Punch to Head At Distance,1,7,3 Rnd (5-5-5),7
93ffadd9e41af797,abbc4fc02e0d84b3,5,173acb3f920082b8,7ea4a9f07df33a45,NC,NC,Bantamweight,Bantamweight Bout,0,Overturned,Failed Drug Test by Rivera,1,259,3 Rnd (5-5-5),259
3c552514bb9b5c98,abbc4fc02e0d84b3,6,523fa774700d7d3f,b13da0b1a3aed3e7,L,W,Middleweight,Middleweight Bout,0,Decision - Unanimous,Peter Adamcik 28 - 29. Richard Bertrand 28 - 29. Chris Lee 28 - 29.,3,300,3 Rnd (5-5-5),900
ccacbe6a4c31cd45,abbc4fc02e0d84b3,7,e5ecaf884b6da2bc,d023ae89a2a4a41e,NC,NC,Welterweight,Welterweight Bout,1,Overturned,Failed Drug Test by Riddle,3,122,3 Rnd (5-5-5),722
c330107229012260,abbc4fc02e0d84b3,8,32ba186f4b0e3267,19a8cce18a1cef9e,L,W,Welterweight,Welterweight Bout,0,Decision - Split,Jeff Blatnick 28 - 29. Sal D'amato 29 - 28. Chris Lee 28 - 29.,3,300,3 Rnd (5-5-5),900
66785060ebaa2387,abbc4fc02e0d84b3,9,1eacf73d6a0055dc,ca2efc9d7d523c43,W,L,Heavyweight,Heavyweight Bout,0,Decision - Unanimous,Jeff Blatnick 28 - 30. Richard Bertrand 27 - 30. Peter Adamcik 27 - 30.,3,300,3 Rnd (5-5-5),900
b6620177ac975ff2,abbc4fc02e0d84b3,10,db1f2ed63b54b9a7,c80095f6092271a7,L,W,Middleweight,Middleweight Bout,0,Decision - Split,Sal D'amato 28 - 29. Richard Bertrand 29 - 28. Chris Lee 28 - 29.,3,300,3 Rnd (5-5-5),900
50a381c1eb88dbb0,abbc4fc02e0d84b3,11,78114b7199cef90c,2c99576fefe53c7c,L,W,Bantamweight,UFC Interim Bantamweight Title Bout,0,Decision - Unanimous,Jeff Blatnick 46 - 49. Chris Lee 45 - 50. Sal D'amato 46 - 49.,5,300,5 Rnd (5-5-5-5-5),1500
89f202a1545d17b6,219a254e15d60135,1,7be74a12d7352df2,8ef4a91ac694b7ce,W,L,Women's Bantamweight,Women's Bantamweight Bout,0,Decision - Unanimous,28 - 29. 27 - 30. 28 - 29.,3,300,3 Rnd (5-5-5),900
08bd9e03c187f66b,f62850b3c7480db9,1,92437c6775b3f7d1,1e35aa8955794580,W,L,Flyweight,Flyweight Bout,0,KO/TKO,Elbow to Head In Clinch,1,226,3 Rnd (5-5-5),226
3e6dfafb8aa780f9,f62850b3c7480db9,2,cc6f9d1e89f3449a,9f842be1a5337be6,W,L,Featherweight,Featherweight Bout,0,Decision - Unanimous,Mike Beltran 28 - 29. Lester Griffin 28 - 29. Cecil Peoples 27 - 30.,3,300,3 Rnd (5-5-5),900
758ec6b5d55c1b09,f62850b3c7480db9,3,6ef65b6a152e49d5,dcdd511ff757f15c,W,L,Heavyweight,Heavyweight Bout,0,Submission,Rear Naked Choke,2,256,3 Rnd (5-5-5),556
9a85303025a077b5,f62850b3c7480db9,4,60ba33c3f555a7a3,94527830000ab715,L,W,Featherweight,Featherweight Bout,0,Submission,North-South Choke,1,195,3 Rnd (5-5-5),195
7e27d9f37c217b63,f62850b3c7480db9,5,902ab9197b83d0db,7f6ef4e1227600bc,NC,NC,Light Heavyweight,Light Heavyweight Bout,0,Could Not Continue,Eye Poke by Davis,1,88,3 Rnd (5-5-5),88
d2ea9181abacc2ee,f62850b3c7480db9,6,282fa667ff9c51ed,80dbeb1dd5b53e64,L,W,Featherweight,Featherweight Bout,0,Decision - Split,Mike Beltran 28 - 29. Lester Griffin 29 - 28. Cecil Peoples 28 - 29.,3,300,3 Rnd (5-5-5),900
1e2677e481a587fd,f62850b3c7480db9,7,9fe85152f351e737,322a56923b396b4d,W,L,Welterweight,Welterweight Bout,1,KO/TKO,Punch to Head On Ground,2,80,3 Rnd (5-5-5),380
4c4e1f7521c27900,f62850b3c7480db9,8,3bad7ef643840f67,a54fc2d6fc224dc3,W,L,Lightweight,Lightweight Bout,1,Submission,Triangle Choke From Bottom,3,164,3 Rnd (5-5-5),764
957b7c74ce120a32,f62850b3c7480db9,9,f7a7f7118d4b01b6,c0ab242c40decc55,W,L,Light Heavyweight,Light Heavyweight Bout,0,KO/TKO,Punch to Head At Distance,2,92,3 Rnd (5-5-5),392
1cbffe3a467d0ded,f62850b3c7480db9,10,140745cbbcb023ac,fa315e6c77eee106,W,L,Light Heavyweight,Light Heavyweight Bout,0,KO/TKO,Punches to Head At Distance,4,249,5 Rnd (5-5-5-5-5),1149
4af9088a165c7751,3c48019bc387b80c,1,6fb1ba67bef41b37,2b4faacc16d66898,W,L,Featherweight,Featherweight Bout,0,KO/TKO,Punches to Head From Back Control,1,225,3 Rnd (5-5-5),225
be6d6abb11ef8297,3c48019bc387b80c,2,55f80a8aeffcdb33,32be4b7f7de1c905,L,W,Bantamweight,Bantamweight Bout,0,Decision - Unanimous,Dave Hagen 28 - 29. Mark Van Tine 27 - 30. Eric Heinz 28 - 29.,3,300,3 Rnd (5-5-5),900
