id,name,promotion,date,venue,location,event_order
796,Bellator 178: Straus vs. Pitbull 4,BELLATOR,2017-04-21,Mohegan Sun Arena,"Uncasville, Connecticut, USA",764
797,UFC Fight Night 108: Swanson vs. Lobov,UFC,2017-04-22,Bridgestone Arena,"Nashville, Tennessee, USA",765
798,CWFC 83: Mills vs. Long,CW,2017-05-06,Newport Centre,"Newport, Wales",766
799,UFC 211: Miocic vs. dos Santos 2,UFC,2017-05-13,American Airlines Center,"Dallas, Texas, USA",767
800,Bellator 179: MacDonald vs. Daley,BELLATOR,2017-05-19,SSE Arena,"London, England",768
801,Invicta FC 23: Porto vs. Niedzwiedz,INVICTA,2017-05-20,Scottish Rite Temple,"Kansas City, Missouri, USA",769
805,KSW 39: Colosseum,KSW,2017-05-27,The PGE Narodowy,"Warsaw, Poland",770
806,UFC Fight Night 109: Gustafsson vs. Teixeira,UFC,2017-05-28,Ericsson Globe,"Stockholm, Sweden",771
807,CWFC 84: Wood vs. Kovacevic,CW,2017-06-02,O2 Indigo,"London, England",772
808,UFC 212: Aldo vs. Holloway,UFC,2017-06-03,Jeunesse Arena,"Rio de Janeiro, Brazil",773
809,UFC Fight Night 110: Lewis vs. Hunt,UFC,2017-06-11,Spark Arena,"Auckland, New Zealand",774
811,UFC Fight Night 111: Holm vs. Correia,UFC,2017-06-17,Singapore Indoor Stadium,"Kallang, Singapore",775
818,Bellator NYC: Sonnen vs. Silva,BELLATOR,2017-06-24,Madison Square Garden,"New York, New York, USA",776
817,CWFC 85: Radcliffe vs. Piechota,CW,2017-06-24,O2 Academy Bournemouth,"Bournemouth, England",777
819,UFC Fight Night 112: Chiesa vs. Lee,UFC,2017-06-25,Chesapeake Energy Arena,"Oklahoma City, Oklahoma, USA",778
823,TUF 25 Finale: Redemption Finale,UFC,2017-07-07,T-Mobile Arena,"Las Vegas, Nevada, USA",779
824,UFC 213: Romero vs. Whittaker,UFC,2017-07-08,T-Mobile Arena,"Las Vegas, Nevada, USA",780
825,Bellator 181: Girtz vs. Campos 3,BELLATOR,2017-07-14,WinStar World Casino,"Thackerville, Oklahoma, USA",781
827,Invicta FC 24: Dudieva vs. Borella,INVICTA,2017-07-15,Scottish Rite Temple,"Kansas City, Missouri, USA",782
826,UFC Fight Night 113: Nelson vs. Ponzinibbio,UFC,2017-07-16,The SSE Hydro,"Glasgow, Scotland",783
828,UFC on Fox 25: Weidman vs. Gastelum,UFC,2017-07-22,Nassau Veterans Memorial Coliseum,"Long Island, New York, USA",784
