id,name
11148,Uprising MMA
11187,Round 5 MMA
11209,Wolfetemple
11267,P's Lab Osaka
11287,Team Thriving Training Center
11307,Absolute Mixed Martial Arts
11327,Azerbaijan Fight Club
11347,Agoge Combatives
11348,Montana Mixed Martial Arts
11367,Citadel Martial Arts
11428,American Top Team D'Iberville
11447,Pr1mera Fight
11487,CIT Performance Institute
11507,Carolina Combat Sports & Fitness
11508,Honour MMA Academy
11527,GrindHouse MMA
11547,NTG Fight & Fitness
11627,Batam Fighter Club
11628,Soma Fight Club
11629,MMA Story
11668,Gracie Barra South Jax
11687,Brazilian Top Team Canada
11707,Ribas Family
11727,Double Five Mid-Cities
11747,Team Remedy BJJ & MMA
11787,Synergy MMA Academy Bali
11807,RD Champions
11827,KO Zone
11847,Team Brothers
11848,Marathon MMA
11867,Tropa Thai
11907,Marquez MMA
11927,Headkicks MMA
11947,Icon MMA
11967,Team KF Martial Arts
12007,Damas 013
12027,Reno Academy of Combat
12028,Brothers of Life MMA
12029,Galpao Da Luta
12030,Vasteras Fight Club
12047,Da Vinci Fighting
12068,Vale Top Team
12069,Kaizen MMA
12087,Carioca Academy
12107,Lions Gym
12127,Team Kioshi
12147,MMA Science Academy
12188,Team Lucas Mineiro
12227,Fifty/50 Martial Arts Academy
12247,Law School MMA
12267,Team Souto
12268,Goat Shed Academy
12269,Cobrinha Brazilian Jiu-Jitsu & Fitness
12287,The Academy MN
12307,Holohan Martial Arts
12327,Centro Deportivo Tibet
12347,Dar Pro Team Kazakhstan
12367,Whaling City Boxing and Jiu Jitsu
12407,Beijing Black Tiger
12427,Black Thai Team
12428,Contacto Livre
12429,Ring Combat Sports
12430,Team Taila Santos
12431,Universal Fight Team Rzeszow
12447,Team Chapa Quente
12467,Burlington Training Centre
12468,Demolition Fight Team
12469,WAR Training Center
12487,Team FFC
12488,Santa Fe Team
12507,Raty Team
12527,The Institute Muay Thai
12547,ECR Fight Center
12567,Fighters Land MMA
12608,Streetsport Luxembourg
12627,MTZ Fight Club
12647,TKMMAFIT
12667,Chute Boxe - Joao Emilio
12688,Top Notch MMA
12689,Combat Brothers
12727,Team Compton Training Centre
12767,Veto Team Bielsko-Biała
12787,Diaz Combat Sports
12807,Brazilian Warriors BJJ
12827,Top Brother MMA
12847,CYFIT
12848,BK Arkhangel Mikhail
12849,MMA Temple
12907,US Metro Bizot
12927,Orion MMA Academy
13027,TAG MMA
13047,Extreme Combat
13087,Broz Martial Arts
13107,Spartan MMA
13148,Tap Star
13168,Luistro Combat Academy
13188,Reborn Fight Team
13189,La Base MMA
13228,Bloodline Combat
13328,Academia Octógono
13408,Mile High Militia
13431,Ignite Martial Arts Academy
13448,Muradov Legion Gym
13468,Triple One Gym Dusseldorf
13528,Brazilian TKO
13549,Pohang Team MAD
13550,China Catch Wrestling
13551,Chunbo Fighting Club
13552,ASM BJJ Association
13568,Von Jiu Jitsu
13588,Japan Top Team
