id,pk,slug,name,nickname,date_of_birth,height_centimeters,reach_inches,leg_reach_inches,fighting_style,stance,nationality
RmlnaHRlck5vZGU6MTAyOA==,1028,tom-deblass-1028,Tom DeBlass,,1982-05-14,181.0,73.0,,Striker / BJJ Grappler,Orthodox,United States
RmlnaHRlck5vZGU6MTAyOQ==,1029,shane-del-rosario-1029,Shane del Rosario,No Limits,1983-09-23,193.0,79.0,,Striker,Southpaw,United States
RmlnaHRlck5vZGU6MTAyOTY=,10296,alexander-hernandez-10296,Alexander Hernandez,The Great,1992-10-01,175.0,72.0,,Striker,Orthodox,United States
RmlnaHRlck5vZGU6MTAzMA==,1030,roland-delorme-1030,Roland Delorme,Stunning,1983-12-28,176.0,71.0,,Grappler,Orthodox,Canada
RmlnaHRlck5vZGU6MTAzMQ==,1031,nick-denis-1031,Nick Denis,The Ninja of Love,1983-10-11,170.0,70.0,,Striker,Orthodox,Canada
RmlnaHRlck5vZGU6MTAzMg==,1032,cyrille-diabate-1032,Cyrille Diabate,Snake,1973-10-06,199.0,81.0,,Striker,Southpaw,France
RmlnaHRlck5vZGU6MTAzMjU=,10325,josiane-nunes-10325,Josiane Nunes,Josi,1993-12-23,157.5,67.0,,Striker,Orthodox,Brazil
RmlnaHRlck5vZGU6MTAzMjY=,10326,julija-stoliarenko-10326,Julija Stoliarenko,,1993-04-08,170.2,65.0,,BJJ Grappler,Orthodox,Lithuania
RmlnaHRlck5vZGU6MTAzMw==,1033,hacran-dias-1033,Hacran Dias,Barnabe,1980-05-16,173.0,69.0,,BJJ Grappler,Orthodox,Brazil
RmlnaHRlck5vZGU6MTAzMzU=,10335,yana-santos-10335,Yana Santos,Foxy,1989-11-11,172.7,68.5,,Striker,Orthodox,Russia
RmlnaHRlck5vZGU6MTAzNA==,1034,tj-dillashaw-1034,T.J. Dillashaw,The Viper,1986-02-07,167.6,68.0,38.0,Wrestler,Orthodox,United States
RmlnaHRlck5vZGU6MTAzNQ==,1035,john-dodson-1035,John Dodson,The Magician,1984-09-26,160.0,66.0,35.0,Striker,Southpaw,United States
RmlnaHRlck5vZGU6MTAzNg==,1036,cody-donovan-1036,Cody Donovan,Donnybrook,1981-02-20,191.0,74.5,,Striker / BJJ Grappler,Orthodox,"Waterloo, Iowa, United States"
