id,name,date,location,is_ufc_event,event_order
1208ffc5be6e31ad,"Strikeforce - Four Men Enter, One Man Survives",2007-11-16,"San Jose, California, USA",0,
1d147d4163a6989b,UFC 78: Validation,2007-11-17,"Newark, New Jersey, USA",1,100.0
3410cf010558dc8b,Fury FC 5: Final Conflict,2007-12-06,"Sao Paulo, Brazil",0,
df85d6ec3493d120,The Ultimate Fighter: Team Hughes vs. Team Serra Finale,2007-12-08,"Las Vegas, Nevada, USA",1,101.0
06f0ffa6446c5b6d,WEC 31: Faber vs. Curran,2007-12-12,"Las Vegas, Nevada, USA",0,
7269329bd87eb479,UFC 79: Nemesis,2007-12-29,"Las Vegas, Nevada, USA",1,102.0
20205040232ed0f3,K-1 Dynamite!! 2007,2007-12-31,"Osaka, Japan",0,
c4b81cdecd5d6abe,Yarrenoka! - New Year's Eve 2007,2007-12-31,"Saitama, Japan",0,
a24e080000fa7a35,UFC 80: Rapid Fire,2008-01-19,"Newcastle, England, United Kingdom",1,103.0
33e33d51f289d2a1,UFC Fight Night: Swick vs Burkman,2008-01-23,"Las Vegas, Nevada, USA",1,104.0
1eacf73d6a0055dc,EliteXC - ShoXC 4,2008-01-25,"Atlantic City, New Jersey, USA",0,
b034747dc1d15491,HCF - Destiny,2008-02-01,"Calgary, Alberta, Canada",0,
9f842be1a5337be6,Strikeforce - Young Guns 2,2008-02-01,"San Jose, California, USA",0,
597db668b01c442c,UFC 81: Breaking Point,2008-02-02,"Las Vegas, Nevada, USA",1,105.0
50d2f0018bcf9eef,WEC 32: Condit vs. Prater,2008-02-13,"Rio Rancho, New Mexico, USA",0,
eb1723480fa2f96c,EliteXC - Street Certified,2008-02-16,"Miami, Florida, USA",0,
a683f9ddb70aa4bd,Strikeforce - At the Dome,2008-02-23,"Tacoma, Washington, USA",0,
598a58db87b890ee,UFC 82: Pride of a Champion,2008-03-01,"Columbus, Ohio, USA",1,106.0
ee779c43a8926d52,M-1 - Slamm,2008-03-02,"Almere, Flevoland, Netherlands",0,
de62052b2ede65ba,Sengoku - First Battle,2008-03-05,"Tokyo, Japan",0,
cc300e9aa3063431,DREAM 1: Lightweight Grand Prix 2008 1st Round,2008-03-15,"Saitama, Japan",0,
c96518b7f6881004,WEC 33: Marshall vs. Stann,2008-03-26,"Las Vegas, Nevada, USA",0,
8a8a84b743ae7699,Strikeforce - Shamrock vs. Le,2008-03-29,"San Jose, California, USA",0,
b9e871af730f826c,UFC Fight Night: Florian vs Lauzon,2008-04-02,"Broomfield, Colorado, USA",1,107.0
ad047e3073a775f3,UFC 83: Serra vs St-Pierre 2,2008-04-19,"Montreal, Quebec, Canada",1,108.0
7e69a4b0961aa555,DREAM 2: Middleweight Grand Prix 2008 1st Round,2008-04-29,"Saitama, Japan",0,
911fb265462f0d94,DREAM 3: Lightweight Grand Prix 2008 2nd Round,2008-05-11,"Saitama, Japan",0,
fdfef29ba17ee525,IFL - Connecticut 2008,2008-05-16,"Uncasville, Connecticut, USA",0,
