id,name,nickname,height_inches,reach_inches,stance,date_of_birth
0efb0d4ebb950fcb,YoungJae Song,Super Rookie,67.0,70.0,Orthodox,1996-01-03
0f1efce7d2571d10,Nikolay Veretennikov,,73.0,75.0,Orthodox,1989-12-22
0f3a990526c5e706,Sean Sharaf,The Smoke,75.0,77.0,Orthodox,1993-07-11
0f6528b461e47462,Joao Roque,,66.0,,Orthodox,1971-07-22
0f7210aa8d61af8d,Mario Rivera,,70.0,,,
0fb1e2694a39a02f,Yuri Villefort,,72.0,73.0,Orthodox,1991-03-23
0fd5f4b838e890cc,Said Nurmagomedov,,68.0,70.0,Orthodox,1992-04-05
0ff11cc094e887bc,Cain Velasquez,,73.0,77.0,Orthodox,1982-07-28
102a8fdf8cbf7467,Kleydson Rodrigues,KR,65.0,67.0,Orthodox,1995-10-22
103b06d8707895a9,Emil Meek,Valhalla,71.0,74.0,Switch,1988-08-20
103e2e33a60683e1,Irina Alekseeva,Russian Ronda,68.0,67.0,Orthodox,1990-06-27
103e2e67919379c5,Andy Waters,,72.0,,,
10559c53de0b950e,Joey Gambino,The Raging Warrior,67.0,,Orthodox,1988-10-26
10657c60ce349e0f,Shunichi Shimizu,,65.0,,Orthodox,1985-01-31
106a925d947a0de9,Mack Brewer,,,,,
108afe61a26bcbf4,Igor Zinoviev,Houdini,73.0,,Orthodox,
1091d4d957141094,Nikita Krylov,The Miner,75.0,77.0,Orthodox,1992-03-07
10ccdcd14c3dfcf1,Krishaun Gilmore,,,,,
10ccf4ec9913cadc,Christian Uflacker,,71.0,,,1985-08-04
10d4575f497face4,SeongChan Hong,Honey Badger,67.0,69.0,Orthodox,1989-11-28
10e04e5e81f391a0,Rocky Long,,,,,1978-02-18
10f3ba6cd2f44a97,Dominick Cruz,The Dominator,68.0,68.0,Orthodox,1985-03-09
110404b505fb562c,Jeremy Malaterre,,71.0,,,
11337d069261bf3a,Karl Reed,No Worries,75.0,78.0,Orthodox,1988-10-27
113df4fde64735c6,Davey Grant,Dangerous,68.0,69.0,Orthodox,1985-12-18
11547e29f253fb89,Marcos Brigagao,Ironside,75.0,76.0,Southpaw,1996-04-01
11583163f45c7b31,Lucas Alexander,The Lion,71.0,73.0,Orthodox,1995-07-28
1174782eacde9b0c,Devin Cole,,76.0,,Orthodox,1976-10-01
117a06469813e4ef,ChangHo Lee,,68.0,69.0,Orthodox,1994-05-09
118463dd8db16e7f,Michelle Maher,,,,,
119ebea97e914dcf,Yuki Ishikawa,,71.0,,Orthodox,
11b5a809c3120e27,Rodrigo Lidio,Dynamis,71.0,73.0,Orthodox,1989-07-07
11e3fd7546359fc5,Rob McCullough,Razor,69.0,69.0,Orthodox,1977-05-26
11f8860028b68fcf,Aaron Rosa,,76.0,77.0,Orthodox,1983-05-28
1208ffc5be6e31ad,Samy Schiavo,,68.0,,Orthodox,1975-12-24
1209b5134401ca53,Mario Neto,Sukata,72.0,,Orthodox,
122806b56775a53a,Joe Pearson,The Triangular Strangler,70.0,,Orthodox,1978-03-28
122ac9b816d8b71c,Shana Dobson,Danger,66.0,69.0,Orthodox,1989-03-30
1235b31de15d0c6e,Montserrat Conejo Ruiz,,60.0,61.0,Southpaw,1993-02-03
12458872d6afae1b,Vernon White,Tiger,72.0,,Southpaw,1971-12-03
12585614e0ed2626,Nick Maximov,,72.0,76.0,Southpaw,1997-12-23
126bdc1710a8cbf4,Qiu Lun,Tibetan Knight,68.0,66.0,Southpaw,1997-07-08
1291edf2d566a71a,Julio Arce,,67.0,70.0,Southpaw,1989-10-27
129537073431e52e,Garett Whiteley,Goodnight,72.0,72.0,Orthodox,1980-12-13
12e0fdc606f7e274,Luis Saldana,,71.0,73.0,Orthodox,1991-01-27
12ebd7d157e91701,Bruno Silva,Blindado,72.0,74.0,Orthodox,1989-07-13
12f1b140e248bdb9,Jerrod Sanders,J-Reazie,68.0,72.0,Orthodox,1979-10-01
12f91bfa8f1f723b,Joanne Wood,JoJo,66.0,65.0,Orthodox,1985-12-23
13104eaed3ae96c3,Young Sam Jung,,68.0,,Orthodox,1985-10-27
132505067f08c54d,Bubba Bush,The Fightin' Texas Aggie,72.0,,Orthodox,1985-07-24
132deb59abae64b1,Valentina Shevchenko,Bullet,65.0,66.0,Southpaw,1988-03-07
132f860d02953f4c,Goran Reljic,,75.0,81.0,Southpaw,1984-03-20
1338e2c7480bdf9e,Israel Adesanya,The Last Stylebender,76.0,80.0,Switch,1989-07-22
135d124172a0bea3,Damir Ismagulov,Qazaq,70.0,74.0,Orthodox,1991-02-03
13935768cf8aeb86,Josh Wick,The White Mamba,69.0,69.0,Switch,1994-10-04
13a0275fa13c4d26,Jared Cannonier,The Killa Gorilla,71.0,77.0,Switch,1984-03-16
13a0fb8fbdafb54f,Bryan Vetell,,75.0,,Southpaw,1977-07-26
13b2f59210dda9cc,Kevin Jackson,,70.0,,Switch,
13c4313ed0f744f3,Brad Kohler,,69.0,,Orthodox,1964-05-26
13e62d766b709aa6,Steve Nelmark,The Sandman,72.0,,Orthodox,
140567899d98978a,Robelis Despaigne,The Big Boy,79.0,84.0,Orthodox,1988-09-09
140745cbbcb023ac,Mauricio Rua,Shogun,73.0,76.0,Orthodox,1981-11-25
1411c630ba711b64,Tommy Speer,,70.0,71.0,Orthodox,1984-08-20
1433786ac76cf777,Colley  Bradford,,67.0,,,
147e70aa6cc48cfc,Tresean Gore,Mr. Vicious,72.0,75.0,Switch,1994-06-21
148bb103cfbf123e,Toshiomi Kazama,,67.0,69.0,Orthodox,1997-05-15
1497e735d9f2560a,Ange Loosa,The Last Ninja,70.0,74.0,Orthodox,1993-03-18
14a433bccba87016,Scott Harper,,72.0,,Orthodox,1972-04-14
14aa21bc82cac57d,Iliarde Santos,,65.0,67.0,Orthodox,1980-09-25
14b9e0f2679a2205,Rafael Freitas,Capoeira,,,Orthodox,
14e797332ea32cdb,Chad George,Savage,66.0,68.0,Southpaw,1982-04-30
14ff46596ad80609,Norman Parke,Stormin',71.0,70.0,Southpaw,1986-12-22
1507214bbc7a79e2,John Renken,The Saint,72.0,,Orthodox,
150ff4cc642270b9,Max Holloway,Blessed,71.0,69.0,Orthodox,1991-12-04
1536a25e16fc299b,Anna Elmose,Panda,63.0,,Orthodox,1984-10-06
