bout_id,round,judge_id,judge_order,fighter_1_score,fighter_2_score
890,4,67.0,3,,
890,5,67.0,3,,
890,Total,67.0,3,48.0,48.0
907,1,39.0,1,,
907,2,39.0,1,,
907,3,39.0,1,,
907,Total,39.0,1,29.0,28.0
907,1,66.0,2,,
907,2,66.0,2,,
907,3,66.0,2,,
907,Total,66.0,2,29.0,28.0
907,1,42.0,3,,
907,2,42.0,3,,
907,3,42.0,3,,
907,Total,42.0,3,29.0,28.0
908,1,39.0,1,,
908,2,39.0,1,,
908,3,39.0,1,,
908,Total,39.0,1,29.0,28.0
908,1,12.0,2,,
908,2,12.0,2,,
908,3,12.0,2,,
908,Total,12.0,2,29.0,28.0
908,1,42.0,3,,
908,2,42.0,3,,
908,3,42.0,3,,
908,Total,42.0,3,29.0,28.0
911,1,39.0,1,,
911,2,39.0,1,,
911,3,39.0,1,,
911,Total,39.0,1,30.0,27.0
911,1,12.0,2,,
911,2,12.0,2,,
911,3,12.0,2,,
911,Total,12.0,2,30.0,27.0
911,1,42.0,3,,
911,2,42.0,3,,
911,3,42.0,3,,
911,Total,42.0,3,30.0,27.0
913,1,39.0,1,,
913,2,39.0,1,,
913,3,39.0,1,,
913,4,39.0,1,,
913,5,39.0,1,,
913,Total,39.0,1,49.0,46.0
913,1,66.0,2,,
913,2,66.0,2,,
913,3,66.0,2,,
913,4,66.0,2,,
913,5,66.0,2,,
913,Total,66.0,2,48.0,47.0
913,1,12.0,3,,
913,2,12.0,3,,
913,3,12.0,3,,
913,4,12.0,3,,
913,5,12.0,3,,
913,Total,12.0,3,48.0,45.0
811,1,58.0,1,,
811,2,58.0,1,,
811,3,58.0,1,,
811,Total,58.0,1,30.0,27.0
811,1,42.0,2,,
811,2,42.0,2,,
811,3,42.0,2,,
811,Total,42.0,2,30.0,27.0
811,1,49.0,3,,
811,2,49.0,3,,
811,3,49.0,3,,
811,Total,49.0,3,30.0,27.0
809,1,58.0,1,,
809,2,58.0,1,,
809,3,58.0,1,,
809,Total,58.0,1,28.0,29.0
809,1,42.0,2,,
809,2,42.0,2,,
809,3,42.0,2,,
809,Total,42.0,2,30.0,27.0
809,1,55.0,3,,
809,2,55.0,3,,
809,3,55.0,3,,
809,Total,55.0,3,29.0,29.0
802,1,57.0,1,,
802,2,57.0,1,,
802,3,57.0,1,,
802,Total,57.0,1,29.0,28.0
802,1,42.0,2,,
802,2,42.0,2,,
802,3,42.0,2,,
802,Total,42.0,2,29.0,27.0
802,1,55.0,3,,
802,2,55.0,3,,
802,3,55.0,3,,
802,Total,55.0,3,29.0,28.0
805,1,57.0,1,,
805,2,57.0,1,,
805,3,57.0,1,,
805,4,57.0,1,,
805,5,57.0,1,,
805,Total,57.0,1,50.0,44.0
805,1,12.0,2,,
805,2,12.0,2,,
805,3,12.0,2,,
805,4,12.0,2,,
805,5,12.0,2,,
805,Total,12.0,2,50.0,44.0
805,1,49.0,3,,
805,2,49.0,3,,
805,3,49.0,3,,
805,4,49.0,3,,
805,5,49.0,3,,
805,Total,49.0,3,50.0,45.0
790,1,39.0,1,,
790,2,39.0,1,,
790,3,39.0,1,,
790,Total,39.0,1,30.0,27.0
790,1,57.0,2,,
790,2,57.0,2,,
790,3,57.0,2,,
790,Total,57.0,2,29.0,28.0
790,1,12.0,3,,
790,2,12.0,3,,
790,3,12.0,3,,
790,Total,12.0,3,30.0,27.0
791,1,39.0,1,,
791,2,39.0,1,,
791,3,39.0,1,,
791,Total,39.0,1,29.0,28.0
791,1,12.0,2,,
